Formulas,Material_IDs,Formation Energy (eV/atom),Band Gap (eV),energy_above_hull,Structure
KNa2MnF6,mp-1111011,-2.721649505793965,0.0,0.235097002874997,"# generated using pymatgen
data_KNa2MnF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.21710300
_cell_length_b   6.21710313
_cell_length_c   6.21710296
_cell_angle_alpha   59.99999599
_cell_angle_beta   59.99999445
_cell_angle_gamma   59.99999538
_symmetry_Int_Tables_number   1
_chemical_formula_structural   KNa2MnF6
_chemical_formula_sum   'K1 Na2 Mn1 F6'
_cell_volume   169.92181930
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.50000000  0.50000000  0.50000000  1
  Na  Na1  1  0.25000000  0.25000000  0.25000000  1
  Na  Na2  1  0.75000000  0.75000000  0.75000000  1
  Mn  Mn3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.22102000  0.77898000  0.22102000  1
  F  F5  1  0.77898000  0.77898000  0.22102000  1
  F  F6  1  0.77898000  0.22102000  0.77898000  1
  F  F7  1  0.77898000  0.22102000  0.22102000  1
  F  F8  1  0.22102000  0.77898000  0.77898000  1
  F  F9  1  0.22102000  0.22102000  0.77898000  1
"
RbNa2FeF6,mp-1110624,-2.645681807025862,3.7187,0.274310923249999,"# generated using pymatgen
data_RbNa2FeF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.27992900
_cell_length_b   6.27992871
_cell_length_c   6.27992819
_cell_angle_alpha   60.00000282
_cell_angle_beta   60.00000102
_cell_angle_gamma   60.00000373
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbNa2FeF6
_chemical_formula_sum   'Rb1 Na2 Fe1 F6'
_cell_volume   175.12540483
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.50000000  0.50000000  0.50000000  1
  Na  Na1  1  0.25000000  0.25000000  0.25000000  1
  Na  Na2  1  0.75000000  0.75000000  0.75000000  1
  Fe  Fe3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.21110200  0.78889800  0.21110200  1
  F  F5  1  0.78889800  0.78889800  0.21110200  1
  F  F6  1  0.78889800  0.21110200  0.78889800  1
  F  F7  1  0.78889800  0.21110200  0.21110200  1
  F  F8  1  0.21110200  0.78889800  0.78889800  1
  F  F9  1  0.21110200  0.21110200  0.78889800  1
"
Na2MnTlF6,mp-1110617,-2.516186545402299,0.0,0.2205274635,"# generated using pymatgen
data_Na2MnTlF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.34256100
_cell_length_b   6.34256129
_cell_length_c   6.34256186
_cell_angle_alpha   59.99999751
_cell_angle_beta   59.99999929
_cell_angle_gamma   59.99999631
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2MnTlF6
_chemical_formula_sum   'Na2 Mn1 Tl1 F6'
_cell_volume   180.41764810
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.25000000  0.25000000  0.25000000  1
  Na  Na1  1  0.75000000  0.75000000  0.75000000  1
  Mn  Mn2  1  0.00000000  0.00000000  0.00000000  1
  Tl  Tl3  1  0.50000000  0.50000000  0.50000000  1
  F  F4  1  0.21843200  0.78156800  0.21843200  1
  F  F5  1  0.78156800  0.78156800  0.21843200  1
  F  F6  1  0.78156800  0.21843200  0.78156800  1
  F  F7  1  0.78156800  0.21843200  0.21843200  1
  F  F8  1  0.21843200  0.78156800  0.78156800  1
  F  F9  1  0.21843200  0.21843200  0.78156800  1
"
Rb2NiAuF6,mp-1110586,-2.2117716575,0.0,0.120665372999998,"# generated using pymatgen
data_Rb2NiAuF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.09877100
_cell_length_b   6.09877158
_cell_length_c   6.09877165
_cell_angle_alpha   59.99999574
_cell_angle_beta   59.99999812
_cell_angle_gamma   59.99999773
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2NiAuF6
_chemical_formula_sum   'Rb2 Ni1 Au1 F6'
_cell_volume   160.40283581
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.25000000  0.25000000  0.25000000  1
  Rb  Rb1  1  0.75000000  0.75000000  0.75000000  1
  Ni  Ni2  1  0.00000000  0.00000000  0.00000000  1
  Au  Au3  1  0.50000000  0.50000000  0.50000000  1
  F  F4  1  0.22773500  0.77226500  0.22773500  1
  F  F5  1  0.77226500  0.77226500  0.22773500  1
  F  F6  1  0.77226500  0.22773500  0.77226500  1
  F  F7  1  0.77226500  0.22773500  0.22773500  1
  F  F8  1  0.22773500  0.77226500  0.77226500  1
  F  F9  1  0.22773500  0.22773500  0.77226500  1
"
Na2TlNiF6,mp-1110616,-2.26555322506251,0.0,0.203634123562489,"# generated using pymatgen
data_Na2TlNiF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.12367100
_cell_length_b   6.12367155
_cell_length_c   6.12367103
_cell_angle_alpha   59.99999242
_cell_angle_beta   59.99999473
_cell_angle_gamma   59.99999758
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2TlNiF6
_chemical_formula_sum   'Na2 Tl1 Ni1 F6'
_cell_volume   162.37551533
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.25000000  0.25000000  0.25000000  1
  Na  Na1  1  0.75000000  0.75000000  0.75000000  1
  Tl  Tl2  1  0.50000000  0.50000000  0.50000000  1
  Ni  Ni3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.22498100  0.77501900  0.22498100  1
  F  F5  1  0.77501900  0.77501900  0.22498100  1
  F  F6  1  0.77501900  0.22498100  0.77501900  1
  F  F7  1  0.77501900  0.22498100  0.22498100  1
  F  F8  1  0.22498100  0.77501900  0.77501900  1
  F  F9  1  0.22498100  0.22498100  0.77501900  1
"
Rb2CoAgF6,mp-1110611,-2.356622655666667,2.009299999999999,0.018885782999999,"# generated using pymatgen
data_Rb2CoAgF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.08369600
_cell_length_b   6.08369575
_cell_length_c   6.08369608
_cell_angle_alpha   59.99999776
_cell_angle_beta   60.00000045
_cell_angle_gamma   59.99999866
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2CoAgF6
_chemical_formula_sum   'Rb2 Co1 Ag1 F6'
_cell_volume   159.21628757
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.25000000  0.25000000  0.25000000  1
  Rb  Rb1  1  0.75000000  0.75000000  0.75000000  1
  Co  Co2  1  0.00000000  0.00000000  0.00000000  1
  Ag  Ag3  1  0.50000000  0.50000000  0.50000000  1
  F  F4  1  0.22034600  0.77965400  0.22034600  1
  F  F5  1  0.77965400  0.77965400  0.22034600  1
  F  F6  1  0.77965400  0.22034600  0.77965400  1
  F  F7  1  0.77965400  0.22034600  0.22034600  1
  F  F8  1  0.22034600  0.77965400  0.77965400  1
  F  F9  1  0.22034600  0.22034600  0.77965400  1
"
RbNa2CoF6,mp-1110626,-2.481677368025862,3.2454,0.206744363250003,"# generated using pymatgen
data_RbNa2CoF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.24767300
_cell_length_b   6.24767279
_cell_length_c   6.24767277
_cell_angle_alpha   59.99999257
_cell_angle_beta   59.99999349
_cell_angle_gamma   59.99999359
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbNa2CoF6
_chemical_formula_sum   'Rb1 Na2 Co1 F6'
_cell_volume   172.44069986
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.50000000  0.50000000  0.50000000  1
  Na  Na1  1  0.25000000  0.25000000  0.25000000  1
  Na  Na2  1  0.75000000  0.75000000  0.75000000  1
  Co  Co3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.21046100  0.78953900  0.21046100  1
  F  F5  1  0.78953900  0.78953900  0.21046100  1
  F  F6  1  0.78953900  0.21046100  0.78953900  1
  F  F7  1  0.78953900  0.21046100  0.21046100  1
  F  F8  1  0.21046100  0.78953900  0.78953900  1
  F  F9  1  0.21046100  0.21046100  0.78953900  1
"
Na2HgMoF6,mp-1111063,-2.191146306749999,0.0,0.329392080999999,"# generated using pymatgen
data_Na2HgMoF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.80526300
_cell_length_b   6.80526356
_cell_length_c   6.80526321
_cell_angle_alpha   59.99999968
_cell_angle_beta   59.99999617
_cell_angle_gamma   59.99999788
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2HgMoF6
_chemical_formula_sum   'Na2 Hg1 Mo1 F6'
_cell_volume   222.85366082
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.25000000  0.25000000  0.25000000  1
  Na  Na1  1  0.75000000  0.75000000  0.75000000  1
  Hg  Hg2  1  0.50000000  0.50000000  0.50000000  1
  Mo  Mo3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.20572100  0.79427900  0.20572100  1
  F  F5  1  0.79427900  0.79427900  0.20572100  1
  F  F6  1  0.79427900  0.20572100  0.79427900  1
  F  F7  1  0.79427900  0.20572100  0.20572100  1
  F  F8  1  0.20572100  0.79427900  0.79427900  1
  F  F9  1  0.20572100  0.20572100  0.79427900  1
"
Na2CuMoF6,mp-1111066,-2.3400104280000003,0.0,0.18052795975,"# generated using pymatgen
data_Na2CuMoF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.97603700
_cell_length_b   5.97603737
_cell_length_c   5.97603735
_cell_angle_alpha   60.00000075
_cell_angle_beta   59.99999640
_cell_angle_gamma   59.99999654
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na2CuMoF6
_chemical_formula_sum   'Na2 Cu1 Mo1 F6'
_cell_volume   150.91237959
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.25000000  0.25000000  0.25000000  1
  Na  Na1  1  0.75000000  0.75000000  0.75000000  1
  Cu  Cu2  1  0.50000000  0.50000000  0.50000000  1
  Mo  Mo3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.24518500  0.75481500  0.24518500  1
  F  F5  1  0.75481500  0.75481500  0.24518500  1
  F  F6  1  0.75481500  0.24518500  0.75481500  1
  F  F7  1  0.75481500  0.24518500  0.24518500  1
  F  F8  1  0.24518500  0.75481500  0.75481500  1
  F  F9  1  0.24518500  0.24518500  0.75481500  1
"
Li3VF6,"mp-753390, mp-777528, mp-21633, mp-776733, mp-765499, mp-777681, mp-1111067, mp-759464, mp-767631, mp-767671",-3.18032917,2.5028,0.031314818499978,"# generated using pymatgen
data_Li3VF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.49559600
_cell_length_b   5.49559535
_cell_length_c   5.49559574
_cell_angle_alpha   59.99999628
_cell_angle_beta   59.99999846
_cell_angle_gamma   59.99999612
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li3VF6
_chemical_formula_sum   'Li3 V1 F6'
_cell_volume   117.36248516
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.25000000  0.25000000  0.25000000  1
  Li  Li1  1  0.75000000  0.75000000  0.75000000  1
  Li  Li2  1  0.50000000  0.50000000  0.50000000  1
  V  V3  1  0.00000000  0.00000000  0.00000000  1
  F  F4  1  0.24846800  0.75153200  0.24846800  1
  F  F5  1  0.75153200  0.75153200  0.24846800  1
  F  F6  1  0.75153200  0.24846800  0.75153200  1
  F  F7  1  0.75153200  0.24846800  0.24846800  1
  F  F8  1  0.24846800  0.75153200  0.75153200  1
  F  F9  1  0.24846800  0.24846800  0.75153200  1
"
